timestamp,people_count,movement_speed,panic_expressions,weapons_detected,stampede_probability
2025-02-28 22:10:37.445812,0,0.0,0,[],0.0
2025-02-28 22:10:37.956256,0,0.0,0,[],0.0
2025-02-28 22:10:38.458181,3,1.7385350465774536,0,[],0.0
2025-02-28 22:10:39.592211,2,0.722875714302063,1,[],12.5
2025-02-28 22:10:40.050675,2,0.7592563629150391,0,[],0.0
2025-02-28 22:10:41.043629,2,0.41082409024238586,0,[],0.0
2025-02-28 22:10:41.886161,2,0.544166088104248,0,[],0.0
2025-02-28 22:10:42.301813,2,0.28248330950737,0,[],0.0
2025-02-28 22:10:42.700087,1,0.2393849641084671,0,[],0.0
2025-02-28 22:10:43.117455,2,1.045217514038086,0,[],0.0
2025-02-28 22:10:43.526159,2,0.444531112909317,0,[],0.0
2025-02-28 22:10:43.942515,2,0.6726276874542236,0,[],0.0
2025-02-28 22:10:44.342818,2,0.4798741340637207,0,[],0.0
2025-02-28 22:10:44.747726,2,0.3450210690498352,0,[],0.0
2025-02-28 22:10:45.119641,2,0.4693528711795807,0,[],0.0
2025-02-28 22:10:45.505934,2,0.2565772831439972,0,[],0.0
2025-02-28 22:10:45.893207,2,0.09565804898738861,0,[],0.0
2025-02-28 22:10:46.274321,2,0.39282333850860596,0,[],0.0
2025-02-28 22:10:46.639517,2,0.33412566781044006,0,[],0.0
2025-02-28 22:10:47.012812,2,0.17485670745372772,0,[],0.0
2025-02-28 22:10:47.492923,2,1.0326811075210571,1,[],12.5
2025-02-28 22:10:47.955411,2,1.0696561336517334,0,[],0.0
2025-02-28 22:10:48.367250,3,1.8015612363815308,0,[],0.0
2025-02-28 22:10:48.789718,2,3.7539048194885254,0,[],0.0
2025-02-28 22:10:49.222325,2,2.4494001865386963,0,[],0.0
2025-02-28 22:10:49.678064,2,5.34194278717041,0,[],0.0
2025-02-28 22:10:50.150113,3,0.6391861438751221,0,[],0.0
2025-02-28 22:10:50.590962,2,1.7054167985916138,0,[],0.0
2025-02-28 22:10:50.995962,2,1.8001515865325928,0,[],0.0
2025-02-28 22:10:51.451859,2,1.1979681253433228,0,[],0.0
2025-02-28 22:10:51.863302,2,2.7656209468841553,0,[],0.0
2025-02-28 22:10:52.259957,1,0.9673990607261658,0,[],0.0
2025-02-28 22:10:52.710070,2,0.9742028713226318,0,[],0.0
2025-02-28 22:10:53.182162,2,1.8007360696792603,0,[],0.0
2025-02-28 22:10:53.621859,2,1.0495356321334839,0,[],0.0
2025-02-28 22:10:54.030852,2,2.6544876098632812,0,[],0.0
2025-02-28 22:10:54.408746,1,3.6491003036499023,0,[],0.0
2025-02-28 22:10:54.750093,0,1.4465951919555664,0,[],0.0
2025-02-28 22:10:55.078933,0,0.00030078014242462814,0,[],0.0
2025-02-28 22:10:55.410128,0,0.0004375220451038331,0,[],0.0
2025-02-28 22:10:55.759005,0,0.08658953756093979,0,[],0.0
2025-02-28 22:10:56.118108,0,0.0,0,[],0.0
2025-02-28 22:10:56.629552,2,1.2724138498306274,0,[],0.0
2025-02-28 22:10:57.090113,1,3.631208658218384,0,[],0.0
2025-02-28 22:10:57.566195,1,2.761282444000244,0,[],0.0
2025-02-28 22:10:58.038937,1,1.6081137657165527,0,[],0.0
2025-02-28 22:10:58.501383,2,1.9269684553146362,0,[],0.0
2025-02-28 22:10:58.974481,2,1.282699704170227,0,[],0.0
2025-02-28 22:10:59.471295,2,1.096933126449585,0,[],0.0
2025-02-28 22:10:59.949203,2,3.610726833343506,0,[],0.0
2025-02-28 22:11:00.437881,2,4.003714084625244,0,[],0.0
2025-02-28 22:11:00.870991,2,2.515774965286255,0,[],0.0
2025-02-28 22:11:01.376379,2,1.2582794427871704,1,[],12.5
2025-02-28 22:11:01.894696,2,1.2112634181976318,1,[],12.5
2025-02-28 22:11:02.437049,1,2.062774896621704,1,[],25.0
2025-02-28 22:11:02.980142,2,2.600069046020508,1,[],12.5
2025-02-28 22:11:03.515487,1,1.1458256244659424,1,[],25.0
2025-02-28 22:11:04.061880,2,0.9798887968063354,1,[],12.5
2025-02-28 22:11:04.597096,1,0.553447961807251,1,[],25.0
2025-02-28 22:11:05.125901,1,0.8154304623603821,1,[],25.0
2025-02-28 22:11:05.684124,1,0.8064566254615784,1,[],25.0
2025-02-28 22:11:06.243559,1,0.7297930717468262,1,[],25.0
2025-02-28 22:11:06.806630,1,0.7046937942504883,0,[],0.0
2025-02-28 22:11:07.332178,2,2.3870716094970703,0,[],0.0
2025-02-28 22:11:07.762443,2,1.0501428842544556,0,[],0.0
2025-02-28 22:11:08.231822,2,1.0458719730377197,0,[],0.0
2025-02-28 22:11:08.709708,2,0.5862177610397339,0,[],0.0
2025-02-28 22:11:09.207911,2,0.40392157435417175,0,[],0.0
2025-02-28 22:11:09.733758,1,0.3034440279006958,1,[],25.0
2025-02-28 22:11:10.246269,2,0.36717069149017334,0,[],0.0
2025-02-28 22:11:10.767375,1,0.27582618594169617,1,[],25.0
2025-02-28 22:11:11.302464,2,0.1623319834470749,0,[],0.0
2025-02-28 22:11:11.805216,2,0.2672736942768097,0,[],0.0
